Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
59,No,Non-Travel,907,Sales,19,5,Medical,1,286,2,Female,148,3,4,Sales Executive,1,Single,25914,777420,6,Y,No,40,1,4,80,1,12,6,2,7,5,6,6
27,No,Travel_Rarely,864,Support,40,1,Human Resources,1,287,3,Female,192,3,3,Research Scientist,3,Married,40975,737550,5,Y,No,0,4,4,80,2,28,4,2,2,1,1,2
43,No,Travel_Frequently,122,Hardware,47,2,Marketing,1,288,4,Male,124,4,4,Healthcare Representative,4,Married,6381,25524,8,Y,Yes,30,3,1,80,4,12,2,3,4,3,1,3
22,Yes,Non-Travel,910,Research & Development,50,5,Life Sciences,1,289,1,Female,50,2,2,Sales Executive,2,Married,8548,51288,6,Y,No,29,1,3,80,4,4,3,4,4,3,1,3
47,Yes,Travel_Frequently,261,Sales,25,1,Life Sciences,1,290,4,Male,192,3,3,Healthcare Representative,1,Married,29160,670680,3,Y,Yes,40,4,3,80,2,38,1,2,10,4,2,5
27,Yes,Travel_Frequently,695,Software,3,5,Other,1,291,3,Female,127,3,2,Human Resources,4,Single,18135,290160,7,Y,Yes,23,2,1,80,2,3,4,2,1,1,1,1
54,No,Travel_Rarely,961,Research & Development,20,2,Other,1,292,3,Male,36,1,2,Developer,2,Divorced,15496,294424,8,Y,No,4,4,2,80,2,14,5,3,13,12,3,1
37,Yes,Travel_Frequently,905,Human Resources,27,4,Other,1,293,3,Female,187,3,3,Research Director,2,Married,41185,1235550,6,Y,Yes,46,1,2,80,3,20,1,3,17,2,8,14
56,Yes,Travel_Frequently,694,Software,6,1,Life Sciences,1,294,2,Female,103,1,2,Sales Executive,4,Divorced,39701,79402,4,Y,No,13,4,3,80,2,24,3,4,9,9,9,1
50,No,Non-Travel,207,Research & Development,4,2,Human Resources,1,295,2,Male,126,2,2,Manufacturing Director,2,Married,25081,401296,3,Y,Yes,31,2,4,80,4,19,1,4,6,5,1,6
29,Yes,Travel_Frequently,1434,Hardware,12,2,Life Sciences,1,296,3,Male,134,1,4,Manufacturing Director,3,Married,25124,527604,6,Y,No,46,4,4,80,1,5,4,1,1,1,1,1
32,Yes,Non-Travel,137,Human Resources,47,3,Human Resources,1,297,1,Female,127,3,5,Sales Representative,4,Married,3852,38520,1,Y,Yes,37,2,2,80,3,22,6,1,9,5,5,4
56,Yes,Travel_Frequently,985,Hardware,11,4,Other,1,298,2,Female,158,3,1,Manufacturing Director,3,Married,20790,311850,8,Y,No,20,3,4,80,3,36,2,4,33,6,18,3
41,Yes,Travel_Rarely,1270,Research & Development,14,2,Human Resources,1,299,3,Male,128,4,2,Laboratory Technician,1,Divorced,40339,80678,1,Y,Yes,23,1,2,80,2,18,3,3,17,3,6,5
48,No,Travel_Frequently,588,Research & Development,11,5,Medical,1,300,4,Female,30,3,5,Sales Executive,1,Single,25886,595378,8,Y,Yes,33,3,1,80,2,22,1,3,1,1,1,1
24,Yes,Non-Travel,592,Human Resources,17,2,Marketing,1,301,3,Male,155,2,3,Sales Representative,3,Married,10742,10742,4,Y,Yes,39,2,3,80,1,9,3,4,8,1,8,4
39,No,Travel_Frequently,1161,Sales,45,5,Life Sciences,1,302,2,Female,136,4,4,Research Director,1,Divorced,41785,501420,5,Y,Yes,17,3,4,80,2,16,2,1,6,4,1,5
51,No,Travel_Rarely,376,Sales,23,5,Human Resources,1,303,1,Male,173,4,2,Healthcare Representative,3,Divorced,4982,129532,4,Y,No,12,1,1,80,1,7,3,3,5,2,1,5
51,No,Travel_Rarely,1069,Research & Development,9,5,Life Sciences,1,304,4,Male,121,3,1,Developer,2,Single,43804,306628,5,Y,No,10,2,4,80,1,31,6,1,19,17,11,13
21,Yes,Travel_Frequently,1362,Support,13,1,Technical Degree,1,305,3,Female,60,4,1,Healthcare Representative,1,Divorced,28832,634304,7,Y,Yes,14,4,1,80,4,29,5,1,14,12,3,5
23,Yes,Non-Travel,290,Human Resources,49,2,Life Sciences,1,306,4,Male,57,2,2,Research Scientist,2,Single,27365,547300,2,Y,No,39,4,3,80,3,3,3,3,2,1,1,1
48,No,Non-Travel,1051,Research & Development,33,4,Marketing,1,307,2,Female,157,1,3,Research Scientist,3,Single,6227,161902,8,Y,Yes,2,1,4,80,4,26,2,2,15,7,6,5
52,No,Non-Travel,785,Sales,29,5,Technical Degree,1,308,3,Female,132,1,1,Healthcare Representative,1,Married,45770,1373100,3,Y,Yes,33,4,2,80,2,32,4,4,16,4,12,11
30,No,Non-Travel,1427,Human Resources,27,4,Life Sciences,1,309,2,Male,187,2,4,Laboratory Technician,3,Married,42726,85452,0,Y,No,4,1,1,80,3,11,6,4,7,2,4,7
57,No,Non-Travel,217,Hardware,13,5,Life Sciences,1,310,1,Male,120,3,1,Sales Representative,1,Divorced,19251,154008,7,Y,Yes,4,3,2,80,4,40,4,2,35,16,6,21
47,Yes,Travel_Frequently,1398,Software,5,1,Life Sciences,1,311,3,Male,137,1,1,Human Resources,3,Married,23526,352890,7,Y,No,14,2,1,80,1,4,2,4,3,1,1,1
27,No,Travel_Frequently,330,Software,6,2,Technical Degree,1,312,4,Female,98,1,3,Research Director,4,Divorced,7513,112695,0,Y,Yes,24,4,1,80,4,12,3,3,6,5,5,4
42,No,Non-Travel,1380,Research & Development,18,1,Medical,1,313,1,Female,146,3,3,Research Director,2,Divorced,31998,927942,4,Y,No,40,4,1,80,2,8,5,2,1,1,1,1
31,Yes,Non-Travel,1259,Sales,30,1,Life Sciences,1,314,2,Male,164,2,5,Developer,2,Single,50424,1008480,5,Y,Yes,21,1,1,80,2,13,5,1,3,2,2,1
25,No,Non-Travel,207,Research & Development,16,2,Other,1,315,4,Male,169,3,5,Manufacturing Director,2,Divorced,37161,148644,1,Y,No,40,2,1,80,2,31,1,3,28,21,1,28
26,Yes,Travel_Frequently,942,Human Resources,31,3,Life Sciences,1,316,1,Male,190,3,1,Research Director,4,Married,44069,969518,6,Y,No,39,3,4,80,4,34,3,2,14,4,9,4
23,No,Travel_Rarely,1308,Human Resources,32,4,Technical Degree,1,317,1,Female,121,4,2,Sales Executive,3,Married,11038,66228,4,Y,Yes,27,4,4,80,4,2,6,2,2,1,1,1
50,No,Travel_Rarely,1041,Human Resources,32,3,Other,1,318,1,Male,198,3,3,Research Director,1,Single,31841,604979,8,Y,Yes,15,1,4,80,2,24,5,1,21,18,5,9
33,No,Travel_Rarely,608,Hardware,43,5,Technical Degree,1,319,4,Female,187,3,1,Manufacturing Director,4,Single,49339,1282814,4,Y,Yes,45,2,4,80,3,26,6,4,20,10,2,3
37,No,Travel_Frequently,1421,Human Resources,11,3,Medical,1,320,1,Male,69,3,5,Manager,1,Married,2751,68775,2,Y,No,46,4,1,80,1,5,4,4,5,1,2,4
39,No,Non-Travel,418,Sales,34,4,Life Sciences,1,321,4,Male,174,1,5,Healthcare Representative,4,Single,31393,376716,2,Y,Yes,26,3,2,80,4,17,6,3,10,5,7,9
45,Yes,Non-Travel,693,Research & Development,25,2,Human Resources,1,322,4,Male,124,3,1,Sales Executive,2,Married,1660,14940,0,Y,Yes,14,2,1,80,1,7,1,4,4,1,4,2
46,No,Non-Travel,1468,Human Resources,40,1,Technical Degree,1,323,2,Female,99,1,5,Laboratory Technician,3,Divorced,17784,177840,0,Y,No,44,4,2,80,2,31,5,2,13,1,1,5
37,No,Non-Travel,995,Sales,44,4,Technical Degree,1,324,1,Male,171,2,1,Manager,4,Married,18612,335016,5,Y,Yes,23,2,3,80,2,25,2,4,25,22,13,4
20,No,Non-Travel,1219,Human Resources,49,1,Human Resources,1,325,2,Female,102,4,5,Research Scientist,1,Married,46612,93224,4,Y,Yes,14,4,4,80,1,20,3,3,14,11,13,2
42,Yes,Non-Travel,184,Support,43,2,Life Sciences,1,326,3,Female,182,1,3,Research Scientist,1,Married,36952,591232,1,Y,Yes,48,3,3,80,2,37,3,4,25,13,16,16
49,Yes,Travel_Rarely,351,Support,42,2,Life Sciences,1,327,1,Female,90,4,4,Laboratory Technician,3,Married,1832,12824,2,Y,Yes,28,1,3,80,2,26,2,4,20,15,1,1
47,No,Travel_Frequently,1137,Support,45,1,Human Resources,1,328,1,Male,116,2,1,Research Scientist,2,Divorced,32422,551174,1,Y,Yes,10,1,2,80,3,19,1,1,15,2,5,11
33,No,Travel_Frequently,1443,Software,16,5,Life Sciences,1,329,2,Female,193,4,1,Manager,3,Married,39591,989775,6,Y,Yes,41,3,4,80,2,11,2,2,6,6,6,2
56,No,Travel_Frequently,1018,Research & Development,14,4,Other,1,330,2,Male,68,4,3,Manufacturing Director,4,Married,27924,223392,0,Y,Yes,12,2,3,80,1,14,5,3,12,6,8,11
46,Yes,Travel_Rarely,1020,Support,28,1,Medical,1,331,1,Female,121,1,3,Sales Executive,1,Divorced,21022,357374,5,Y,Yes,20,3,4,80,2,35,6,3,28,21,25,25
30,Yes,Travel_Rarely,726,Support,49,5,Life Sciences,1,332,3,Male,78,4,2,Human Resources,1,Divorced,21131,633930,2,Y,Yes,27,2,2,80,1,23,2,4,1,1,1,1
23,No,Travel_Frequently,328,Sales,9,2,Life Sciences,1,333,2,Female,145,4,3,Healthcare Representative,2,Divorced,12412,136532,2,Y,Yes,14,2,2,80,3,30,1,3,21,9,7,8
33,Yes,Travel_Rarely,870,Human Resources,34,1,Human Resources,1,334,3,Female,156,4,5,Research Scientist,2,Divorced,14637,278103,0,Y,Yes,38,3,2,80,2,25,6,2,6,6,2,6
29,Yes,Travel_Frequently,283,Sales,41,3,Marketing,1,335,1,Male,149,2,5,Sales Executive,4,Divorced,26194,366716,0,Y,No,24,3,1,80,2,1,1,3,1,1,1,1
59,No,Travel_Frequently,1372,Human Resources,16,4,Human Resources,1,336,2,Female,140,3,3,Manufacturing Director,3,Single,40839,653424,3,Y,Yes,5,3,2,80,3,36,5,2,18,12,2,10
22,Yes,Non-Travel,1049,Sales,18,1,Marketing,1,337,2,Male,80,2,3,Sales Representative,1,Married,38694,1006044,2,Y,Yes,35,4,2,80,2,21,6,2,17,6,7,16
24,Yes,Travel_Rarely,1180,Software,9,5,Human Resources,1,338,1,Male,183,3,2,Sales Executive,1,Married,36224,688256,7,Y,No,33,3,3,80,2,11,6,1,5,1,1,2
57,Yes,Travel_Frequently,409,Software,28,5,Technical Degree,1,339,4,Female,49,1,2,Manager,1,Divorced,33080,165400,3,Y,Yes,1,1,2,80,3,39,4,3,19,3,17,15
18,No,Travel_Rarely,467,Software,2,2,Other,1,340,4,Female,33,1,5,Human Resources,1,Married,32265,580770,2,Y,Yes,31,1,2,80,4,8,3,3,4,2,1,4
39,No,Travel_Rarely,888,Sales,37,3,Human Resources,1,341,2,Male,57,3,5,Developer,1,Divorced,28432,369616,4,Y,No,49,1,4,80,3,23,3,3,14,9,9,6
22,No,Travel_Rarely,1093,Support,8,5,Technical Degree,1,342,2,Female,46,1,4,Human Resources,4,Divorced,42607,1022568,4,Y,No,29,3,3,80,3,31,5,3,26,26,10,15
33,No,Travel_Frequently,869,Hardware,38,1,Human Resources,1,343,2,Male,94,4,3,Research Scientist,1,Married,18398,147184,1,Y,Yes,4,4,4,80,4,7,6,2,5,1,5,3
47,No,Travel_Frequently,1418,Research & Development,46,4,Life Sciences,1,344,3,Male,121,2,1,Developer,2,Married,38719,658223,0,Y,No,0,1,4,80,4,31,1,1,2,1,1,2
40,No,Non-Travel,1371,Sales,26,4,Life Sciences,1,345,4,Female,147,1,3,Laboratory Technician,2,Divorced,5341,53410,0,Y,Yes,15,4,3,80,2,12,1,1,9,2,2,4
25,Yes,Non-Travel,147,Research & Development,27,4,Medical,1,346,3,Male,112,3,4,Research Director,2,Divorced,18721,224652,8,Y,Yes,42,4,2,80,1,25,2,3,6,3,3,6
59,Yes,Travel_Frequently,244,Support,35,3,Human Resources,1,347,4,Female,105,1,3,Healthcare Representative,4,Divorced,28445,113780,7,Y,No,21,4,1,80,2,14,2,2,14,2,1,9
56,Yes,Travel_Frequently,394,Software,11,1,Marketing,1,348,2,Male,195,2,3,Research Scientist,2,Single,36562,877488,7,Y,No,35,3,3,80,1,26,5,4,24,19,24,12
19,Yes,Travel_Frequently,536,Software,24,3,Medical,1,349,4,Female,32,4,2,Sales Representative,1,Single,46699,840582,5,Y,No,31,2,4,80,3,33,1,3,7,3,1,2
26,Yes,Non-Travel,1320,Software,16,1,Technical Degree,1,350,4,Male,47,1,1,Developer,1,Single,21228,318420,5,Y,Yes,0,4,2,80,3,19,1,2,7,2,4,1
19,Yes,Travel_Frequently,1281,Hardware,19,3,Other,1,351,1,Male,190,3,3,Sales Executive,3,Divorced,50195,1204680,5,Y,Yes,33,3,4,80,1,20,5,3,14,9,11,13
18,Yes,Travel_Rarely,1462,Research & Development,46,4,Marketing,1,352,4,Female,31,2,4,Research Director,1,Divorced,28185,56370,3,Y,Yes,17,1,1,80,4,34,2,3,8,4,2,2
53,No,Travel_Rarely,973,Support,30,5,Marketing,1,353,1,Female,192,4,3,Manager,4,Single,35696,1035184,0,Y,Yes,21,3,1,80,2,24,1,3,16,15,14,14
56,Yes,Travel_Frequently,411,Research & Development,20,1,Marketing,1,354,1,Male,69,3,4,Healthcare Representative,3,Divorced,27736,748872,8,Y,No,27,4,1,80,1,28,2,3,24,9,11,12
42,Yes,Travel_Rarely,889,Human Resources,17,1,Human Resources,1,355,1,Female,150,3,1,Developer,4,Divorced,44887,1032401,6,Y,Yes,39,1,2,80,1,39,4,1,21,11,8,19
57,Yes,Non-Travel,1232,Software,7,4,Human Resources,1,356,3,Male,157,3,4,Healthcare Representative,2,Single,47472,427248,3,Y,No,28,3,1,80,2,4,3,3,4,4,3,3
47,No,Travel_Rarely,1393,Sales,50,1,Medical,1,357,4,Male,50,4,4,Developer,1,Divorced,26271,709317,0,Y,No,44,4,2,80,2,4,1,3,3,3,2,2
18,Yes,Non-Travel,990,Hardware,29,5,Other,1,358,3,Female,198,3,1,Developer,2,Married,48522,533742,0,Y,No,43,1,3,80,1,7,6,3,1,1,1,1
27,Yes,Travel_Frequently,101,Software,28,3,Marketing,1,359,4,Male,129,2,4,Research Director,1,Married,44122,352976,4,Y,No,35,4,3,80,1,38,3,2,8,5,7,7
38,No,Travel_Frequently,489,Research & Development,40,2,Marketing,1,360,2,Female,92,1,4,Manager,2,Married,27770,333240,8,Y,No,6,4,2,80,3,26,2,1,5,1,5,5
22,No,Non-Travel,1158,Software,48,4,Other,1,361,4,Male,101,4,3,Sales Executive,2,Divorced,20459,552393,7,Y,No,0,3,4,80,4,36,2,4,22,4,15,13
59,No,Travel_Frequently,282,Software,45,2,Human Resources,1,362,4,Male,65,4,1,Manager,4,Single,50744,558184,3,Y,No,24,2,2,80,2,4,4,3,3,3,2,3
31,Yes,Non-Travel,369,Software,38,2,Technical Degree,1,363,2,Male,112,3,2,Human Resources,4,Single,8455,236740,6,Y,No,14,2,2,80,4,3,3,1,2,2,1,1
20,Yes,Travel_Rarely,751,Sales,25,4,Other,1,364,2,Male,60,2,4,Research Director,1,Divorced,32355,550035,8,Y,No,15,3,4,80,2,13,3,2,12,3,4,4
18,No,Travel_Frequently,963,Sales,15,5,Marketing,1,365,1,Female,141,3,2,Developer,3,Single,8235,74115,4,Y,No,16,1,2,80,4,2,6,2,2,1,2,1
34,No,Travel_Rarely,614,Sales,9,2,Human Resources,1,366,3,Male,122,4,1,Research Director,1,Divorced,45168,903360,3,Y,Yes,31,2,2,80,2,15,2,4,13,11,8,8
37,No,Non-Travel,223,Human Resources,44,1,Other,1,367,4,Female,140,3,1,Human Resources,4,Single,48492,387936,2,Y,Yes,23,2,3,80,4,18,3,4,6,1,5,2
37,Yes,Non-Travel,1183,Support,39,4,Other,1,368,3,Male,172,4,1,Manufacturing Director,4,Married,47408,711120,2,Y,No,23,4,1,80,1,1,6,1,1,1,1,1
54,No,Non-Travel,1060,Software,2,4,Life Sciences,1,369,1,Male,109,1,5,Manufacturing Director,4,Single,19859,556052,1,Y,Yes,30,4,2,80,4,20,6,3,10,5,4,8
28,Yes,Travel_Frequently,196,Research & Development,41,4,Medical,1,370,3,Female,170,3,3,Sales Representative,2,Divorced,35377,495278,0,Y,No,41,1,4,80,2,1,1,2,1,1,1,1
18,Yes,Travel_Frequently,670,Human Resources,37,4,Human Resources,1,371,1,Female,71,2,2,Research Scientist,1,Divorced,8480,203520,8,Y,Yes,33,2,2,80,4,29,6,2,1,1,1,1
57,Yes,Travel_Frequently,1468,Support,23,1,Life Sciences,1,372,2,Female,167,2,3,Manufacturing Director,1,Single,37475,337275,0,Y,Yes,45,4,3,80,2,7,5,2,1,1,1,1
52,No,Travel_Frequently,1238,Support,8,1,Life Sciences,1,373,2,Male,120,3,5,Research Scientist,2,Single,40713,529269,2,Y,No,46,1,3,80,4,39,6,2,20,4,18,7
20,No,Non-Travel,1074,Human Resources,41,4,Technical Degree,1,374,1,Female,141,3,4,Sales Executive,4,Single,29500,678500,1,Y,Yes,49,1,3,80,1,39,1,2,36,30,15,30
27,Yes,Travel_Rarely,1149,Support,7,1,Medical,1,375,1,Male,49,4,3,Healthcare Representative,2,Divorced,12403,111627,8,Y,Yes,25,4,3,80,2,20,1,2,3,1,1,1
44,No,Non-Travel,820,Hardware,19,2,Life Sciences,1,376,1,Female,49,3,3,Research Director,2,Single,13442,107536,3,Y,Yes,1,1,4,80,2,28,5,1,22,6,4,21
37,Yes,Travel_Frequently,1150,Hardware,42,2,Medical,1,377,2,Male,192,1,2,Manager,4,Single,38656,386560,7,Y,No,47,3,1,80,4,3,5,2,3,3,3,3
31,Yes,Non-Travel,609,Human Resources,5,3,Technical Degree,1,378,1,Male,80,3,1,Laboratory Technician,2,Single,14423,317306,6,Y,No,33,3,3,80,3,39,1,1,39,27,28,16
27,Yes,Non-Travel,1434,Human Resources,49,1,Life Sciences,1,379,4,Female,175,2,4,Sales Executive,2,Single,22574,158018,3,Y,Yes,33,4,1,80,4,6,6,3,2,2,1,2
24,No,Travel_Rarely,148,Software,12,3,Marketing,1,380,4,Female,89,1,4,Human Resources,1,Single,13002,13002,4,Y,Yes,31,1,3,80,2,3,4,2,2,2,2,1
36,Yes,Travel_Frequently,991,Software,35,3,Life Sciences,1,381,1,Female,191,4,5,Research Director,3,Married,3857,115710,0,Y,No,26,3,4,80,1,16,2,1,4,2,2,4
29,Yes,Non-Travel,124,Human Resources,2,4,Technical Degree,1,382,3,Male,161,1,1,Research Scientist,2,Divorced,42511,892731,5,Y,No,19,4,1,80,2,34,1,3,5,3,1,4
42,No,Non-Travel,1088,Software,42,3,Marketing,1,383,4,Male,46,3,5,Sales Representative,4,Married,10732,139516,0,Y,Yes,5,1,2,80,4,23,2,2,4,4,3,3
38,Yes,Non-Travel,376,Software,44,3,Marketing,1,384,1,Male,176,1,3,Developer,4,Divorced,43623,174492,1,Y,No,28,2,1,80,3,28,6,1,1,1,1,1
45,No,Travel_Rarely,1130,Sales,24,3,Human Resources,1,385,3,Male,160,3,5,Research Scientist,3,Single,1143,4572,3,Y,Yes,19,3,4,80,2,10,2,1,2,2,2,2
57,Yes,Non-Travel,1297,Sales,16,5,Technical Degree,1,386,3,Female,63,4,3,Sales Representative,2,Single,30827,92481,1,Y,No,29,1,2,80,2,2,2,2,1,1,1,1
52,No,Non-Travel,665,Software,33,5,Technical Degree,1,387,3,Male,40,2,3,Research Director,1,Divorced,41631,291417,3,Y,No,25,1,2,80,3,18,6,2,4,1,4,1
60,Yes,Non-Travel,1103,Hardware,28,3,Human Resources,1,388,4,Female,73,2,1,Sales Executive,1,Single,38015,570225,6,Y,Yes,28,3,1,80,4,21,6,2,7,5,2,2
36,Yes,Non-Travel,681,Support,43,1,Human Resources,1,389,4,Female,177,1,2,Healthcare Representative,2,Married,34847,243929,4,Y,No,16,3,4,80,3,15,1,1,2,1,1,2
26,No,Travel_Rarely,1493,Research & Development,42,1,Technical Degree,1,390,3,Male,103,2,2,Sales Executive,1,Divorced,22848,479808,5,Y,No,21,4,2,80,3,12,6,4,8,7,7,7
40,Yes,Travel_Frequently,462,Hardware,35,5,Other,1,391,2,Female,90,3,1,Manager,2,Divorced,19139,344502,0,Y,Yes,42,3,1,80,4,27,3,2,23,13,7,19
55,No,Travel_Frequently,1024,Human Resources,39,3,Marketing,1,392,4,Female,57,2,1,Manager,2,Single,22104,375768,0,Y,No,20,3,4,80,3,35,4,1,7,7,2,1
23,No,Travel_Frequently,640,Hardware,31,5,Human Resources,1,393,1,Female,84,1,2,Sales Representative,3,Divorced,26144,549024,0,Y,No,20,2,2,80,4,40,1,1,29,2,2,20
40,Yes,Non-Travel,661,Sales,8,2,Human Resources,1,394,3,Male,185,4,4,Developer,1,Divorced,12688,126880,3,Y,Yes,5,1,2,80,4,26,2,1,1,1,1,1
34,No,Travel_Frequently,1026,Sales,43,2,Marketing,1,395,1,Male,31,4,5,Research Director,1,Single,44826,806868,1,Y,Yes,22,4,1,80,3,37,1,1,32,11,26,29
49,Yes,Travel_Frequently,1492,Sales,7,3,Technical Degree,1,396,4,Female,57,4,3,Sales Executive,2,Divorced,45496,318472,4,Y,Yes,9,3,4,80,3,24,2,3,3,1,1,3
58,Yes,Travel_Frequently,352,Support,46,2,Life Sciences,1,397,3,Female,115,4,3,Sales Representative,1,Divorced,2899,46384,8,Y,No,24,4,4,80,2,6,3,1,1,1,1,1
39,Yes,Non-Travel,175,Research & Development,1,5,Other,1,398,3,Female,158,1,2,Research Scientist,4,Divorced,31814,540838,3,Y,Yes,19,4,1,80,3,25,2,2,9,7,3,5
46,No,Non-Travel,1201,Hardware,5,3,Human Resources,1,399,3,Male,164,3,2,Healthcare Representative,1,Single,39064,234384,2,Y,No,3,2,4,80,3,31,2,1,1,1,1,1
37,No,Travel_Frequently,633,Human Resources,22,3,Technical Degree,1,400,2,Female,43,1,5,Sales Representative,1,Divorced,24448,366720,4,Y,Yes,49,4,1,80,3,16,5,3,13,11,8,4
57,Yes,Travel_Frequently,1352,Research & Development,1,4,Human Resources,1,401,2,Female,33,4,2,Manufacturing Director,4,Divorced,2011,14077,6,Y,Yes,6,2,3,80,1,8,6,1,5,1,3,1
53,Yes,Travel_Rarely,622,Sales,1,5,Medical,1,402,4,Male,54,2,5,Laboratory Technician,2,Married,48264,1013544,2,Y,Yes,11,1,4,80,2,33,3,2,7,1,2,7
54,Yes,Non-Travel,738,Software,10,4,Life Sciences,1,403,4,Female,154,3,5,Developer,1,Married,24615,172305,3,Y,No,15,4,4,80,1,27,6,1,27,19,23,1
31,Yes,Travel_Frequently,417,Software,11,1,Other,1,404,1,Male,100,2,1,Research Scientist,1,Married,47335,1420050,1,Y,No,35,4,1,80,2,18,2,4,14,1,10,14
30,Yes,Travel_Rarely,331,Software,50,3,Technical Degree,1,405,3,Male,176,1,1,Research Scientist,3,Divorced,34257,822168,1,Y,Yes,26,3,4,80,2,25,6,3,20,9,20,10
48,No,Travel_Frequently,1344,Software,41,4,Other,1,406,2,Male,186,3,3,Human Resources,3,Single,28369,198583,3,Y,Yes,40,4,4,80,2,22,3,4,8,4,6,2
42,Yes,Non-Travel,443,Hardware,34,5,Human Resources,1,407,1,Female,190,1,3,Sales Executive,2,Single,22729,431851,1,Y,Yes,17,3,3,80,3,18,4,3,9,3,7,9
28,Yes,Travel_Frequently,1470,Hardware,18,3,Other,1,408,1,Female,49,4,1,Sales Executive,2,Single,42622,1193416,8,Y,Yes,12,3,2,80,3,11,4,3,7,6,2,1
59,Yes,Non-Travel,673,Support,50,2,Life Sciences,1,409,2,Male,168,2,1,Healthcare Representative,1,Divorced,11632,81424,3,Y,No,43,4,1,80,1,5,5,2,3,2,2,3
26,No,Non-Travel,324,Research & Development,18,4,Human Resources,1,410,2,Female,105,4,5,Manager,1,Single,10968,87744,1,Y,Yes,41,2,3,80,2,34,3,4,7,4,3,7
52,Yes,Travel_Frequently,1283,Sales,8,3,Human Resources,1,411,4,Male,139,4,5,Laboratory Technician,2,Married,11735,293375,5,Y,Yes,42,2,4,80,2,1,5,1,1,1,1,1
46,Yes,Travel_Frequently,1034,Human Resources,3,5,Human Resources,1,412,4,Female,124,3,4,Research Scientist,3,Single,9328,102608,2,Y,No,38,1,2,80,2,34,4,3,23,21,17,7
35,Yes,Travel_Rarely,529,Support,26,5,Marketing,1,413,4,Male,60,2,5,Healthcare Representative,2,Single,37198,37198,6,Y,Yes,41,1,1,80,4,33,6,1,5,2,2,2
57,No,Non-Travel,1438,Support,20,5,Life Sciences,1,414,2,Male,149,4,1,Developer,1,Married,44129,441290,4,Y,No,45,3,4,80,1,29,6,1,12,1,5,11
31,Yes,Non-Travel,1037,Support,36,4,Other,1,415,2,Female,113,4,4,Sales Representative,2,Married,48136,1010856,6,Y,No,3,1,1,80,2,10,2,3,5,3,3,3
20,No,Non-Travel,1096,Software,47,1,Life Sciences,1,416,3,Male,156,4,2,Human Resources,2,Single,10000,120000,6,Y,No,15,2,2,80,1,35,5,1,7,3,2,7
43,Yes,Travel_Rarely,845,Research & Development,50,2,Human Resources,1,417,4,Male,140,3,3,Research Director,2,Divorced,7423,22269,4,Y,No,24,2,2,80,4,37,3,3,5,3,2,2
25,Yes,Travel_Frequently,1033,Human Resources,16,5,Other,1,418,2,Female,145,1,3,Human Resources,3,Divorced,34369,515535,8,Y,No,17,3,4,80,3,27,5,4,18,15,8,5
26,Yes,Travel_Frequently,1102,Support,36,5,Marketing,1,419,4,Male,41,1,2,Sales Representative,1,Married,50204,401632,6,Y,No,19,1,2,80,3,4,6,1,1,1,1,1
33,No,Non-Travel,1440,Hardware,23,2,Technical Degree,1,420,3,Male,172,1,3,Sales Representative,4,Divorced,26177,104708,1,Y,Yes,36,2,1,80,1,23,6,2,9,8,1,3
34,No,Travel_Rarely,1143,Human Resources,37,5,Life Sciences,1,421,4,Female,113,4,2,Research Director,1,Married,27029,675725,3,Y,No,11,1,4,80,3,16,1,2,12,8,5,10
22,No,Travel_Rarely,1474,Sales,12,1,Life Sciences,1,422,2,Male,191,4,4,Developer,2,Married,8368,158992,6,Y,No,5,2,4,80,1,12,5,2,8,5,1,1
60,Yes,Travel_Frequently,1041,Sales,37,4,Marketing,1,423,3,Female,159,4,4,Developer,3,Married,44070,220350,1,Y,No,42,1,4,80,1,7,3,1,1,1,1,1
20,No,Travel_Rarely,1472,Support,36,1,Marketing,1,424,4,Female,176,1,2,Human Resources,1,Divorced,26362,289982,4,Y,No,38,2,4,80,2,14,3,1,10,1,9,8
19,No,Travel_Frequently,1245,Research & Development,49,1,Marketing,1,425,4,Male,198,2,3,Research Scientist,3,Divorced,36333,544995,4,Y,Yes,4,2,3,80,2,6,6,3,6,4,3,5
22,Yes,Travel_Frequently,1234,Human Resources,9,1,Life Sciences,1,426,4,Male,123,1,2,Sales Representative,4,Single,37193,929825,0,Y,No,4,2,4,80,4,19,4,3,14,5,10,12
48,Yes,Travel_Rarely,494,Sales,42,4,Technical Degree,1,427,2,Male,151,3,2,Research Director,3,Divorced,22323,22323,4,Y,Yes,12,2,3,80,1,11,4,1,7,5,2,2
18,No,Travel_Rarely,980,Support,11,1,Technical Degree,1,428,1,Female,150,1,4,Research Scientist,3,Single,46491,1255257,3,Y,Yes,19,1,2,80,4,2,5,2,1,1,1,1
